id,category,sub_category,lat,lon
352253821,sustenance,bar,28.6655024,77.302875
154110068,sustenance,cafe,28.59487,77.0183238
252334020,sustenance,cafe,28.5590421,77.2835112
311711702,sustenance,cafe,37.4305552,-120.7770418
340381516,sustenance,cafe,28.5496314,77.1679008
340387312,sustenance,cafe,28.5497474,77.1680952
340397724,sustenance,cafe,28.5483576,77.1668802
340398004,sustenance,cafe,28.5484001,77.1668067
164676031,sustenance,fast_food,28.628004,77.2232083
352218115,sustenance,fast_food,28.6266413,77.2197378
352510612,sustenance,fast_food,28.5690714,77.2427357
352510686,sustenance,fast_food,28.5692188,77.2428201
370679007,sustenance,fast_food,28.6101699,77.0366138
370679009,sustenance,fast_food,28.6120881,77.0362599
154202739,sustenance,food_court,28.6757615,77.1122556
154203747,sustenance,food_court,28.6762369,77.1128596
31658491,sustenance,restaurant,28.5396713,77.1864648
220693078,sustenance,restaurant,28.5907021,77.2209206
235626307,sustenance,restaurant,28.5185113,77.2945453
350594158,sustenance,restaurant,28.5655523,77.2382279
368245124,sustenance,restaurant,28.5499739,77.2053873
370679010,sustenance,restaurant,28.611,77.0393367
464312287,sustenance,restaurant,28.667872,77.2302267
479830744,sustenance,restaurant,28.540632,77.169212
532890551,sustenance,restaurant,28.5774294,77.0919259
538065799,sustenance,restaurant,28.6212534,77.0929223
643414432,sustenance,restaurant,28.7209043,77.1408871
48532704,education,college,28.6646759,77.2326519
78164726,education,college,28.6857007,77.1831733
78480690,education,college,28.697594,77.1526785
78542355,education,college,28.7373478,77.1121023
80418112,education,college,28.6396886,77.2299491
80519089,education,college,28.5394397,77.1936483
80954594,education,college,28.6028119,77.2154101
81352232,education,college,28.594349,77.1784601
81352240,education,college,28.5920649,77.177226
111288341,education,college,28.5664077,77.1993434
154200577,education,college,28.6755706,77.1131616
171501227,education,college,28.6881917,77.119881
209499017,education,college,28.6058571,77.0382245
221616839,education,college,28.6552211,77.1264965
259024071,education,college,28.6740218,77.2816878
259178987,education,college,28.6552314,77.194092
260112775,education,college,28.5399337,77.1497214
262038297,education,college,28.6192068,76.9322893
262565109,education,college,28.6307492,77.0722979
262825728,education,college,28.5398013,77.2554794
262879324,education,college,28.6733198,77.0975499
263377746,education,college,28.5945042,76.9104597
263377748,education,college,28.5945364,76.908743
263819669,education,college,28.6097075,77.1006411
265007635,education,college,28.6204973,77.1057473
265028837,education,college,28.5738023,77.2681227
265149997,education,college,28.6632475,77.1495005
265203375,education,college,28.6384343,77.0948705
265736044,education,college,28.5388596,77.264252
265771338,education,college,28.5774037,77.1608274
265771344,education,college,28.5785064,77.1611836
265771349,education,college,28.5764942,77.1597453
265815219,education,college,28.6604769,77.2045033
265831763,education,college,28.5703466,77.2178207
265835580,education,college,28.6611487,77.2048334
265903498,education,college,28.6487967,77.1781309
276310396,education,college,28.6293475,77.2850733
277949816,education,college,28.6556066,77.1209645
283886302,education,college,28.5986606,77.3226939
283919119,education,college,28.6035833,77.3216501
287001367,education,college,28.5459275,77.2704418
289405082,education,college,28.6350056,77.2369937
289883321,education,college,28.6333678,77.2336204
290515053,education,college,28.7078145,77.2141771
290669112,education,college,28.7259085,77.203141
291058353,education,college,28.8608809,77.0959426
291270755,education,college,28.5624369,77.233534
291553430,education,college,28.5333499,77.2268591
291553431,education,college,28.5347508,77.2269128
292045084,education,college,28.6554288,77.1230589
294122280,education,college,28.7331756,77.171535
294547165,education,college,28.5912774,77.2469068
297554492,education,college,28.6960049,77.2092684
303037977,education,college,28.5562315,77.2084081
351321991,education,college,28.5358647,77.2113476
351396834,education,college,28.6290796,77.0417188
358699051,education,college,28.5466967,77.1841037
402853146,education,college,28.6950547,77.2090059
402853150,education,college,28.6920497,77.2099058
402853154,education,college,28.6860791,77.2059753
402853155,education,college,28.6858538,77.2077709
402853157,education,college,28.6843738,77.2103254
424884415,education,college,28.5910219,77.1667129
427196480,education,college,28.6369026,77.1711783
467108001,education,college,28.6207613,77.0926063
531671391,education,college,28.5887216,77.1670547
585974875,education,college,28.6267395,77.2367982
637912140,education,college,28.6805449,77.2251803
662494564,education,college,28.6794849,77.2220612
7891819,education,school,28.5419137,77.1677984
34940753,education,school,28.5385075,77.1382348
40837967,education,school,28.7750484,77.1423401
43316275,education,school,28.5623892,77.1571455
43316796,education,school,28.534228,77.2125141
43361906,education,school,28.597467,77.1802789
44091823,education,school,28.5403284,77.2018505
44091868,education,school,28.5403186,77.2020201
44092360,education,school,28.5399552,77.2037507
47026629,education,school,28.6740659,77.1067785
47026631,education,school,28.6749885,77.1058346
47107935,education,school,28.6735906,77.1028588
58472990,education,school,28.6494553,77.0406927
58472992,education,school,28.648339,77.0420859
60882617,education,school,28.7951513,77.0379001
76734524,education,school,28.6312165,77.2973919
76849185,education,school,28.6211307,77.3050821
76849246,education,school,28.6185731,77.3027667
76849392,education,school,28.6173882,77.3033654
76849406,education,school,28.6093408,77.3116044
76965008,education,school,28.6180931,77.3149253
76965009,education,school,28.617946,77.3086562
76965030,education,school,28.6146387,77.3134856
76965083,education,school,28.6153272,77.3157891
76977269,education,school,28.6228233,77.3075816
76977318,education,school,28.6191174,77.3185833
76977577,education,school,28.6246317,77.3171186
76977620,education,school,28.6217877,77.3175462
76995143,education,school,28.6081156,77.3138149
77001172,education,school,28.6016805,77.3059001
77001246,education,school,28.6052001,77.307694
77001396,education,school,28.6047171,77.3061555
77004707,education,school,28.6000527,77.2938546
77007463,education,school,28.6098505,77.3021961
77727870,education,school,28.7044473,77.1378749
77967781,education,school,28.6865028,77.1654314
77967787,education,school,28.6868589,77.1699755
77967802,education,school,28.6921673,77.1669431
77967833,education,school,28.6894969,77.1710492
78154548,education,school,28.685505,77.1738057
78154758,education,school,28.6828455,77.1699747
78164543,education,school,28.6937961,77.1806289
78164552,education,school,28.6957459,77.1816277
